name,"Number of Reviews, Minimum Nights Correl",minNights,Total Reviews
2 Bedroom Apartment by O'Hare/CTA/I90 Free Parking,252.0,1,252
Cute room in downtown Boystown,251.0,1,251
Hotel Perks - Private Bedroom | Private Bathroom,251.0,1,251
Private studio with free garage parking,250.0,1,250
Trendy Space Close to WickerPark@Ukrainian Village,250.0,1,250
"Charming, Spacious 3BR Lakeview Apt Near Transit",247.0,1,247
Bright family-friendly Lincoln Square 2-bed 1-bath,246.0,1,246
Sunny Logan Square Artists' home,246.0,1,246
Chicago Speakeasy-Style Loft Space (Room 2A),245.0,1,245
"Luxury Stay - Claridge House, Queen Room",244.0,1,244
"HydePark007, Chinatown,  UC, NavyPier, freeparking",240.0,1,240
Modern Design 2BR Penthouse in Hip Logan Square,239.0,1,239
"Simple room, close to trains!",239.0,1,239
Blues Brothers - Express | South Loop Studio,237.0,1,237
Tiny Studio Apartment 94 Walk Score,237.0,2,475
British Themed Room in the Middle of Boystown,235.0,1,235
"Luxury - Claridge House, Standard King Room",235.0,1,235
Basement room near Midway Airport,235.0,2,471
Loft Style Private Apt 2 (1 Room- 420 Friendly),235.0,1,235
"Modern Logan Square Apartment, steps from train!",235.0,1,235
Standard King Room,234.0,1,234
Cozy Garden Room in the middle of Boystown!,233.0,1,233
❤️ Sophisticated River West 2 Bedroom - Near the L,233.0,1,233
Chic Home! Walk to Nightlife-Comedy-Restaurants!,233.0,1,233
"Pilsen,WiFi,Free parking,Netflix,Lock code, Train",232.0,1,232
Private Bed and Bathroom in a Great Location,232.0,1,232
Cozy 2 Bedroom in heart of Lakeview,232.0,2,464
Bright Room with a Garden View,231.0,1,231
"Steps to Shops, Eats | Easy Access + W&D | Zencity",230.0,1,230
Private room with private entrance in Boystown,228.0,1,228
Fully Furnished Studio + WiFi Amazing Deal!,227.0,1,227
Industrial Loft-style 3 Bedroom in Lincoln Park,225.0,1,225
Bright & Sunny Logan Square Apartment With Parking,222.0,1,222
Minutes from EVERYTHING!,222.0,1,222
2 Twin beds with Private Bathroom,221.0,1,221
Chicago Speakeasy-Style Loft Space (Room 3A),220.0,1,220
The Hobbit Hole,220.0,1,220
"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",220.0,3,662
Beautiful 3-bed Condo Near University of Chicago,217.0,2,434
Logan Square * Priv Rm&Dr * 24hr * 420 friendz DOG,216.0,1,216
Classic 2 Bedroom Roscoe Village Apartment,215.0,1,215
1 Bedroom Apartment in Historic Old Town House,214.0,1,214
"Large, Private Logan Square Studio",214.0,3,644
Large private room w/ shared bathroom in Boystown!,213.0,1,213
Perfect location in Lincoln Park—free parking spot,213.0,2,427
Relaxed Bucktown/Wicker Park 1B Apt,213.0,2,426
"NEW,Roscoe Village,Cubs, Pvt Bath, Pvt Entrance",212.0,2,425
Logan Square Studio,211.0,2,423
"Stylish 1BR Apt, in Lakeview.  Perfect for Getaway",210.0,1,210
Stylish Home Near Wrigley Field,209.0,1,209
⭐GREAT LOCATION NEXT TO DOWNTOWN PARKING Laundry ⭐,209.0,1,209
S3 Studio in OldTown with Balcony,207.0,1,207
Beautiful Three Bedroom Apartment near Loyola,207.0,1,207
Two blocks from Wrigley Field and the Metro.,207.0,1,207
iKlektik House // Robin,206.0,2,412
Brand New Modern 2 Bd 2Bth Close to Train,205.0,1,205
"Chic, Modern Lincoln Square Apartment with Open Layout",204.0,1,204
Private BR in Condo close to Chicago Dwtwn!,204.0,1,204
Spacious in-law Apt: 15 min to O'Hare and Downtown,203.0,1,203
Charming loft style suite,203.0,1,203
"HydePark002, UC, NavyPier, Chinatown, freeparking",202.0,1,202
Explore Hip Logan Square from a Modern Apartment,202.0,1,202
The Hide-Away | South Loop Apartment,201.0,1,201
"Sunny, Cozy, Colorful  Andersonville",200.0,1,200
Kasa | Spectacular City Views | Chicago,199.0,3,599
Convenient location!,199.0,1,199
*The Oakley-Modern 3br Duplex 12 mins to Downtown,198.0,2,396
"Best in Chicago, private, amazing garden space",198.0,3,595
Bucktown Private GEM - a 3BR Modern Oasis,197.0,1,197
"Cozy room, private bath, Hyde Park",196.0,1,196
Contemporary Chic Apartment Close to Wrigley Field,195.0,1,195
2BR Bursting w/ Character in Hip Logan Square!,195.0,2,391
2 Bedroom Bucktown Apartment - So Charming!,194.0,1,194
Designer 3BR with Balcony & Elevator on Clark!,194.0,1,194
Old Town Pied-à-terre with Private Terrace!,193.0,1,193
"Whole Flat in Private Club. Walk to L, Dining & Shows",193.0,2,387
Queen Bed with Private Bathroom in Boystown,192.0,1,192
Sweet Home Chicago 4 Bedroom/2 Bath,191.0,1,191
Goose & Fox Hostel Lincoln Park,191.0,1,191
Gold Coast themed room in Boystown,190.0,1,190
Chicago-Themed Condo,190.0,1,190
Gritty Chic River North + ACME Hotel,190.0,1,190
"Sophisticated, Historic Apartment near Wrigley Field",190.0,1,190
Lincoln Park/DePaul Garden Suite/Street parking,190.0,1,190
Kasa | Walk to Lincoln Park Zoo | Chicago,188.0,3,565
S1 Old Town / Downtown / Lincoln Park / Gold Coast,188.0,1,188
Bright 2 Bedroom in Bucktown with Vintage Charm,188.0,1,188
Urban Terrace @ Fulton House,188.0,1,188
Renovated 3BR Duplex in Logan Square,188.0,1,188
Historic Chicago Coach House,188.0,1,188
"2br/2ba, A+ location by Mag mile, views & spacious",187.0,1,187
Best Location-Southport Corridor,186.0,1,186
WiFi Queen Studio 4miles to O’hare 8 min Uber ride,185.0,1,185
The Buck Stop,185.0,2,371
Gritty Chic River North - ACME Hotel,184.0,1,184
North Center. Free parking! Walk to the Brown Line,183.0,1,183
Amazing Condo steps from Wrigley Field!,183.0,2,367
Private Lincoln Square Garden Apt,182.0,2,364
Bright & Lofty Bucktown 1BR,181.0,1,181
"Cozy, Quiet, Garden Getaway!",181.0,2,363
The Avondale Adventure - 2BR / 1BA Condo,180.0,1,180
Logan Square 2 bedroom great location,180.0,2,360
Modern & Stylish 1BR Apt in the Center of Lakeview,179.0,1,179
Cozy Apartment with Free Parking,179.0,2,358
Wrigleyville/Boystown/Entire Private Floor!,179.0,1,179
❤️The Perfect In Between❤️,178.0,1,178
Bright Bucktown 3 Bedroom Near the 606,178.0,1,178
02b. Twin bed in Coed Space,178.0,1,178
iKlektik House // Cardinal,177.0,2,355
Private BR in Chicago - Dwntwn & Fulton Mkt close,176.0,1,176
Eclectic Artist Designed Sanctuary Heart of Pilsen,176.0,2,353
Lovely Andersonville Apt with Ideal Location,175.0,2,350
North Side Pied-à-terre,175.0,1,175
Modern Logan Square Apartment near Public Transit,175.0,1,175
Cool and Modern Chicago Apartment near Transit,174.0,1,174
Spacious 2 BDR Suite near Logan Sq w/Free Parking,174.0,1,174
"1BR West Loop Apt, In-Unit Laundry, Public Parking",173.0,1,173
Hyde Park 5 Bed/3 Full Bath Condo- Travelers Only!,173.0,2,346
Cozy Depaul/Wrigley Garden Condo  +FREE Parking!,172.0,1,172
Top-Notch Top-Floor Bucktown 2 Bedroom,172.0,1,172
"""Home Away from Home"" - Free Street Parking!",172.0,2,345
Newly rehabbed! 2BR with Vintage Charm,171.0,1,171
05b. Queen futon in Common Room,171.0,1,171
Hotel Perks - Private Bedroom | Private Bathroom,170.0,1,170
"Chicago’s Best-Lincoln Park-The Unique ""Gallery""",170.0,1,170
"COMFY, ELEGANT HOME | WRIGLEYVILLE | PARKING+YARD",169.0,1,169
2bdr apartment +free parking near train in Chicago,168.0,1,168
Stylish Chicago Apartment near Public Transit,168.0,1,168
"⭐FAB LOCATION next to DOWNTOWN! Laundry, parking ⭐",166.0,1,166
Daniel’s Room/Private Bedroom/ Lincoln Park,166.0,1,166
King Lakeview Room,165.0,1,165
Kasa | Steps to Oak Street Beach | Chicago,165.0,3,497
2 Bedrooms in the Best Location - Noble Square!,165.0,1,165
Entire floor urban retreat private guest suite,165.0,2,330
Lakeview Charmer -with parking!,165.0,2,330
Great room with private bathroom,164.0,1,164
'Secret Garden' Apartment in Wrigleyville,164.0,2,329
Cozy Coach House,164.0,2,328
Ravenswood Guest House Annex,164.0,2,328
Relax and Enjoy Chicago in an Updated and Private Apartment in Roscoe Village,163.0,2,327
Spacious & Charming Private Room in Wicker Park,162.0,1,162
Gritty Chic River North --- ACME Hotel,161.0,1,161
Delightful 3 bed 2 bath with Free Parking!,161.0,2,323
Glam Hidden Gem near Wrigley,161.0,1,161
Top of West Town Charm - 1BR Apt has all you need!,160.0,1,160
Renovated Victorian Beauty,160.0,1,160
Modern Luxury in Old Town - Sleeps 4,159.0,1,159
Spacious and Welcoming Ravenswood Garden Unit,159.0,1,159
"Wicker Park - private room + bath, bfast included!",159.0,2,319
"Unwind in the Bath at a Hip, Historic Coach House",159.0,2,319
Unwind in Style Steps from the Magnificent Mile,158.0,2,317
The Grotto of Logan Square,157.0,2,315
"Price Drop! Great Deal, Great area!",157.0,1,157
Spacious & Bright Private Room in Wicker Park,156.0,1,156
"HydePark001, UC, Chinatown,NavyPier, freeparking",156.0,1,156
Cozy Urban Garden Suite,155.0,1,155
Elegant Lakefront Near Wrigley Field Lake Michigan,155.0,1,155
Archways at the Lincoln Park Zoo 2bed/2ba,154.0,1,154
HUGE 1700 sqft 3bd West Loop Penthouse w/ Balcony,154.0,1,154
"Charming, Perfectly Located Logan Square Apt",154.0,1,154
Eclectic and Colorful Retro Apartment near Logan Square,154.0,2,309
Private 3rd Floor Apartment,154.0,2,308
Bright Condo Lincoln Park/Wrigley/Depaul +Parking!,153.0,1,153
Wrigley Hostel - 4 Bed Shared Room,153.0,1,153
"Lakeview Loft-Vintage Chicago, Modern Amenities",152.0,2,304
Comfort  zone,152.0,1,152
Caroline’s room/Private Room/Lincoln Park,152.0,1,152
"Explore the City from an Elegant, Urban Retreat",152.0,2,304
"Comfortable Home Base, Close to Everything!",152.0,2,304
Spacious & serene in hip spot. Sleeps 4.,152.0,2,304
10% Winter Promo! Homey 2BR Unit in Boystown,151.0,1,151
Sophisticated Flat in Historic Building,151.0,2,303
Hip Music Themed Apartment,151.0,2,303
"Huge Victorian near Loyola, Lake #2",151.0,2,302
"Walk to Wrigley, Eats | Balcony + W&D | Zencity",150.0,1,150
Spacious & Attractive Private Room in Wicker Park,150.0,1,150
Incredible Little Italy location!,150.0,2,300
Private suite in Lincoln Square,150.0,2,300
Checkerboard Studio with Private Outdoor Hot Tub and Yard,149.0,2,299
"HydePark003, UC, NavyPier, Chinatown, freeparking",149.0,1,149
Historic Pullman Artist Flat - Artists & Explorers,149.0,2,298
"Walk to Wrigley, Eats | Balcony + W&D | Zencity",148.0,1,148
Charming Top Floor Apt - 20 minutes to Downtown!,148.0,1,148
Near McCormick Place and Minutes from Downtown!,148.0,2,297
Greystone Haven in Logan Square,147.0,2,294
Spacious basement-level apt near Wrigley Field/CTA,147.0,2,294
Near the Blue Line! 3 Bedrooms in River West,146.0,1,146
"3BR w/ Elevator, Patio & Laundry near the Red Line",146.0,1,146
Bright & Renovated Irving Park Duplex w/ Backyard!,146.0,1,146
Cozy apartment in Pilsen,146.0,1,146
Logan Square Beauty with 2 Bedrooms,145.0,1,145
"UChicago, Sci Museum | Lake View + Gym | Zencity",145.0,1,145
Cozy and Private Andersonville Retro Studio,145.0,2,291
Cozy apartment in quiet residential area,145.0,2,291
Chicago’s Best- Lincoln Park-Close to Everything,145.0,1,145
10% Winter Promo! Well-equipped and Clean 1BR Apt,144.0,1,144
"UChicago, Sci Museum | Lake View + Gym | Zencity",144.0,1,144
ENTIRE CLEAN MODERN 2 BR APT HAVEN/GARAGE PARKING,144.0,1,144
Sunny full floor (Sleeps 4+ guests),144.0,2,289
"East Pilsen Apartment - Loop, McCormick, UIC",144.0,1,144
Beautiful grand home by Downtown,144.0,2,288
03a. Queen sized in coed room,144.0,1,144
Super Comfortable Bedroom For Frequent Travelers,143.0,1,143
Artsy Logan Square 3BR with Private Entrance!,142.0,1,142
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",142.0,1,142
Milagro2720 (2F),142.0,1,142
"Private, Charming, Coach House Loft in Andersonville",142.0,2,284
Private bedroom in Lincoln Park,142.0,2,284
Mid-Century Townhouse in Lakeview,142.0,1,142
"Private Studio in Bridgeport, Chicago",141.0,2,283
"Cozy, Vintage Apartment - Northwest Lincoln Square",141.0,1,141
Cozy Garden Unit In Edgewater,141.0,2,283
"Huge Victorian near Loyola, Lake #3",141.0,2,283
Cozy & Comfy in a Hidden Gem Chicago Neighborhood.,140.0,1,140
Wicker★Park Blue Line Subway@Division East★Village,140.0,2,280
"Private, 2BR apt, 6 miles south of Downtwn Chgo",140.0,2,280
West Town Traveler's Lodge,140.0,4,560
Private bedroom/bath/entry in Lakeview,140.0,2,281
The Avondale Garden Unit,140.0,2,281
Charming apartment in Old Town,140.0,3,422
Sonder South Wabash | Spacious One-Bedroom Apartment w/ City View,139.0,2,279
Cozy Lincoln Park Studio - Steps to Zoo!,139.0,1,139
Bright 1BR near Public Transit - 2 min walk,139.0,1,139
Peaceful River West Apt - free gated parking,139.0,2,278
Stunning 2 Floor Apt w with Rooftop Deck!!!,139.0,2,278
Dream Condo steps from Wrigley Field!,139.0,2,279
06. Pullout sofa bed in common room,139.0,1,139
East Pilsen art loft,138.0,1,138
"Bright, Modern Apartment in a Vintage Greystone",138.0,2,277
Division St Designer Home in Heart of Wicker Park,137.0,1,137
Hear the Crowd Roar from a Condo Moments Away from Wrigley,137.0,2,275
Amadeus Stay - Hip Central 3bdrm Apt +Free Parking,136.0,1,136
Bright Converted Storefront in Roscoe Village,136.0,1,136
"The Bucktown Penthouse Family, Business, Friends",136.0,1,136
"Private Suite w/ offstreet pkg, at Logan Sq Blu Ln",135.0,1,135
Perfect Lincoln Park Retreat - Walk to DePaul!,135.0,1,135
Attic apartment in a hip neighborhood!,135.0,1,135
"Huge Victorian near Loyola, Lake #1",135.0,2,271
Lux Urban 3BR/3BA Duplex + Parking!,135.0,2,270
Large Wicker Park Loft - Walk To Everything!,134.0,3,403
"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",134.0,2,268
3 br/2 ba w/ Building Laundry by IL Med District,133.0,1,133
"Wicker Park  Chicago, IL entire 2BD",133.0,1,133
"Luxe, Quiet, Private Suite W/Fab Shower, Separate Entrance",132.0,2,265
Private Logan Square Studio,132.0,2,265
Augusta's Garden | Noble Square | Wicker Park,132.0,2,264
Cozy garden apartment historic Jackson Bvld.,132.0,2,264
"Pilsen room, separate entrance w/private bathroom",132.0,2,265
Cute Convertible in OldTown,131.0,1,131
Vintage Suite Home Chicago by Sox/Park/Transit,131.0,1,131
S7 Cute Studio in Old Town,131.0,1,131
"UChicago, Lake, Sci Museum | Gym + W&D | Zencity",131.0,1,131
ITALIAN garden apt/kids friendly/great location!!,131.0,2,262
2 Bedrooms are perfect for groups up to 3 guests,131.0,1,131
Spectacular Pilsen Studio for 2!,130.0,1,130
Roscoe Village Radiance! 3 Bedroom Home,130.0,1,130
Chicago Living: Your Home Away From Home,130.0,1,130
Sophia’s Room/Lincoln Park Bedroom/Bathroom,130.0,1,130
Dugout in Wrigleyville,130.0,2,260
Comfortable Vintage North Side Retreat for 8,129.0,1,129
2 bedroom apartment near train line and bus lines.,129.0,1,129
"Bright 3 bed, 2 bath apt. w/ laundry & parking 8min downtown",129.0,1,129
A Vintage Pink House in the Heart of Chicago,129.0,2,259
Samson’s Place! Uptown: Near Beach w/Free Parking,129.0,2,258
Wicker Park/Ukie Village Classic Chicago Greystone,129.0,1,129
Foster Flat - Retreat to your Home Away from Home,128.0,1,128
University Retreat,128.0,1,128
B1 - Next to Downtown Chicago - Private Room,128.0,2,256
Duplex near the beach! 3 bedrooms in Andersonville,128.0,1,128
Abby's 2720 2F,128.0,2,256
Can't beat this 2min walk to Wrigley!,128.0,1,128
Relax ! Neighborhood Garden Studio,128.0,2,256
Logan Square Vintage Deluxe Private Suite & Bath,128.0,3,384
Newly rehabbed!! 4BR Duplex near the Blue Line,127.0,1,127
"Gorgeous, cozy 1-bedroom Suite in Andersonville",127.0,2,254
Spacious & Clean Ukrainian Village 2 Bedroom!,126.0,1,126
Beautiful & Inspiring Three Bedroom Home in Roscoe Village,126.0,2,252
Great location! Spacious & private! Free parking,126.0,2,252
2 bedroom apartment near Chinatown,126.0,2,253
B4 - Chicago Next to Downtown - Private Room,126.0,2,252
Traveler's Dream - 1 bed in a shared bedroom,126.0,1,126
Sonder South Wabash | Studio Apartment w/ City View,125.0,2,251
"Walk to Wrigley, Eats | Easy Train + W&D | Zencity",125.0,1,125
Cozy 2 Bedroom Apartment Near Chinatown,125.0,2,251
05a. Common Room King,125.0,1,125
Enjoy Lovely Logan Square from Bright and Modern Condominium,125.0,1,125
Lincoln Park Avant Artist's Private 1891 Apartment,125.0,2,250
"Edgewater escape, charming 2 BR, Rooftop Solar",125.0,2,250
Private room+bath in Wicker Park,125.0,2,250
"Belmont House, Classy & Chic/walk to Wrigley Fld",124.0,1,124
Lincoln Square Gem!,124.0,2,248
Cozy Garden Apartment in Heart of Pilsen,124.0,2,249
Unbeatable Stay at Fulton Market Stunning Condo w/ Free Parking,123.0,1,123
Expansive 5 Bed Home near Chicago's HOT West Loop,123.0,1,123
2BR with Exceptional Atmosphere in Logan Square,123.0,1,123
Relax in a Newly Remodeled Apartment in Irving Park,123.0,2,246
"Decorated 1BR Apt, Natural Light, Comfy King Beds",122.0,1,122
Wheat & Cotton Room,122.0,1,122
"Unwind in the Garden of an elegant, Modern Home",122.0,2,244
Logan Square Video Game Loft,122.0,2,244
"Artsy, cozy, getaway! Perfect for couples!",121.0,1,121
"3BR Work and Family Friendly, Free Parking",121.0,1,121
Bronzeville Beauty: Modern Style + Historic Charm,120.0,1,120
*ENTIRE CITY HOUSE/PARKING - 3 MIN WALK TO TRAIN,120.0,3,362
East Humboldt Park Vintage Charm,120.0,1,120
Perfect 1BR in Lincoln Park - Steps to DePaul!,119.0,1,119
Cozy 2BR/1BA Garden Apartment  Near Lincoln Square,119.0,2,238
Private Garden Apartment in Humboldt Park,119.0,1,119
Pelotoning while Airbnb'ing in Chicago!,118.0,1,118
Warm & Comforting 4BR/2BA in Andersonville,118.0,1,118
B2 - Next To Downtown Chicago - Room,118.0,2,236
Cozy Garden-Subterranean Apartment,118.0,2,236
Private room near UIC Medical Dist.,118.0,1,118
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",117.0,1,117
Female Only - 1 bed in a Shared Bedroom,117.0,1,117
Wrigley Residence in Iconic Wrigley Rooftop,117.0,1,117
Hotelier Host - Wrigley/Lakeview. Pvt Roof & Bath,117.0,1,117
Beautiful Two Bedroom!,117.0,2,234
Stylish 1 bdr close Downtown|Wrigley|Andersonville,116.0,1,116
Private Coach house near Lincoln Square!,116.0,1,116
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",116.0,1,116
The Banksy,116.0,2,233
B7 - Next to Downtown Chicago - Private Room for 4,116.0,2,232
Humboldt Park House (no parties),116.0,2,232
Huge Victorian near Loyola 2bd Apt,116.0,2,232
"Lincoln Park, Zoo, Lake | Easy Access | Zencity",115.0,1,115
Work Or Vacation Place Close To O'Hare/Rosemont,115.0,2,230
Sawyer get-away in Logan Square,115.0,2,230
Redesigned Lower Level Studio in Historic Building,115.0,2,231
"River North's Rock N Roll - Covd Safer, No Common Areas",115.0,2,231
*Recent Price Drop! Superb location!,115.0,1,115
10% Winter Promo! Cozy Modern 1BR Apt near Wrigley,114.0,1,114
Newest One Bedroom in Old Town - Gold Coast,114.0,1,114
Ina's Beachwood Inn,114.0,1,114
Mckelvin Garden suite,114.0,1,114
Susie's Space. 2BR easy parking & pet friendly,114.0,2,228
Private Lincoln Square one bed+bath studio apt.,114.0,2,229
Large vintage inspired room in the heart of Logan,114.0,2,229
Safest Area dplx-brewery district close to Wrigley,114.0,3,344
City House /Garage-Walk to Train,113.0,3,341
Spacious 1BR apartment in a central location,113.0,2,226
Charming 2 Bedroom Apartment in Logan Square,112.0,1,112
Chicago 2720 (2F),112.0,2,225
Andersonville Living,112.0,3,336
"In the heart of Pilsen, Self Check In",112.0,2,224
New REHAB - 2Bd/1Ba Lakeview/Boystown *CUBS*,112.0,2,224
Private Room and Bath in Perfect Location,112.0,1,112
Get Cozy at a Powder-Blue Residence in the Heart of Pilsen,111.0,2,222
Bold and Bright Owner's Flat in Design District,111.0,1,111
SPACIOUS PRIVATE ROOM-WRIGLEY FIELD GREAT LOCATION,111.0,1,111
Tree top 2nd floor 3 bedrm Apt,111.0,2,223
"Steps to Shops, Eats, Bars | Easy Access | Zencity",110.0,1,110
Lincoln Pk-parking-wifi-King bd-crib-kid friendly,110.0,2,220
"Bright, Modern Studio in the Heart of Logan Square",110.0,2,221
Old Town Paradise: Walk to Wells St & Beach!,109.0,1,109
10% Winter Promo! Welcoming & Trendy 1BR Apt,109.0,1,109
1 Bedroom Apartment by McCormick Place & Chinatown,109.0,2,219
The Rectory,109.0,2,218
Clean& Cozy Entire 3 BDRM Unit 7 Miles FRM DWNTWN,108.0,1,108
Bright Two-Bedroom on Historic Logan Boulevard,108.0,1,108
Garfield Park Escape,108.0,1,108
HUGE|Near DT|Train/Free Parking-McCormick-Rush/UIC,108.0,2,216
Cozy loft in Chicago's Uptown near CTA/Red Line,108.0,2,217
Comfort and style - your home away from home,107.0,1,107
Logan Square 2nd Floor Chicago Victorian,107.0,2,215
Frida 2720 (2F),107.0,2,214
"10% Winter Promo! 1BR Charming, Clean, & Comfy Apt",106.0,1,106
Great Location Studio,106.0,1,106
"5min to Wrigley, Aragon | Quiet w/ View | Zencity",106.0,1,106
Luxury in Lincoln Square! 4BR Home with Patio,106.0,1,106
Inviting Stylish Home with Covered Patio,106.0,2,213
Visit the United Center & Explore City of Chicago,106.0,2,212
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",106.0,1,106
Spacious PRVT Room w/ Full Bathroom - Logan Square,105.0,1,105
Perfect Lakeview Townhome with Private Patio!,105.0,1,105
"UChicago, Lake, Sci Museum | Gym + W&D | Zencity",105.0,1,105
Renovated Modern 2b CloseToTrain•Food•FREE Parking,105.0,2,210
Entire place near United Center with free parking!,105.0,1,105
"Stylish, Shared Apartment for the Perfect Get Away",105.0,1,105
"⚡️NEW! Stylish & Cozy 3BDRM, 10min/ORD, 20min/DT❤️",105.0,2,210
Secret Gallery on the Park❤️(+Parking),105.0,2,211
中唐【304】Chinatown (Private Bedroom),105.0,2,210
01a. Full bed in Coed Space - 3 mi from NWU,105.0,1,105
